name,description
Bounce Imaging,"Bounce Imaging's low-cost, throwable omnidirectional cameras enable first responders to safely inspect dangerous spaces in 360 on their phone without entering."
Perle Hospitality,"Seeking $250K to expand our ideal lodging and travel alternatives across Haiti using under-utilized, safe and convenient private residences."
Kornukopia,"Education Ecosystem & Content Distribution Network. Top 10 fastest growing Edtech Company, 2,000+ schools use the SAAS LMS/LCMS/SIS/Social Networking platform"
Angel Creative Solutions for Healthcare,Innovative digital health products and solutions
Postfly,We're building the most exciting fishing brand on the planet
GreenSight Agronomics,"We are the brains behind precision agriculture.  Our integrated drone, sensor, and AI platform delivers automatic daily actionable intelligence."
Archer Roose Wines,"We are an alternatively packaged wine company that delivers dangerously delicious wines, at the best price, in right format for your lifestyle."
I Am Kreyol,I Am Kreyol is a woman's high fashion brand that empowers women through beautiful designs & through economic sustainability for artisans in Haiti.
Ras Labs,"Ras Labs makes Synthetic Muscle, electroactive polymers that contract & expand, attenuate force, & sense pressure for prostheses, robots, & other applications."
Uplift,"Revolutionary solution presented through a simple mobile app that ""Ends Jet Lag Naturally""!"
Kaymbu,Instagram for educators -- document and share anything to capture the essence of student development and strengthen relationships between home and school.
"Lincoln Peak Partners, Inc.","Lincoln Peak runs some of the world's largest Healthcare Research networks and created AQUEDUCT, a SaaS solution that accelerates the pace of research."
QSM Diagnostics,"Fastest/lowest cost diagnostic instrument- sensor method for identifying and monitoring common bacteria in blood, urine, sputum or wound"
Pingster,The next generation in Photo-sharing GPS mobile apps
Redpoint Positioning Corp.,"With its Indoor GPS solution, Redpoint is transforming the way industrial customers are monitoring their operations, for improved safety and efficiency."
"Cuaround, LLC",AUTOMATION OF THE FUTURE
Splashscore,Your Influencer Activation Engine for Facebook
ZappRx,ZappRx is a digital health company that is modernizing and simplifying the way specialty drugs are managed.
"HomeBinder.com, Inc.","HomeBinder is working to solve the ""electronic health records"" for the home problem (data beyond the MLS)."
"Talkler Labs, LLC","TALKLER - Email for your Ears: The mobile platform for truly heads-up, reads-aloud-to-you, voice-controlled productivity—starting w/ email."
WeSpire,"WeSpire is an employee engagement platform that helps global companies design, run and measure the impact of their purpose-based initiatives."
Sense,Sense is a home energy monitor for homeowners to understand their energy and know what's happening at home with real-time energy consumption data.
Chasing Nirvana Yoga,"A go-to tenant amenity for property managers, and an employee perk for corporations. Offering on-site wellness."
"Prapela, Inc.",stimulating infant health
Cashtivity Play,"Cashtivity teaches math through gamified real world challenges, no more boredom & frustration, math is now a fun, creative experience which students relate to."
"Edella, Inc","Virska is web app that allows professors to easily provide assignments, syllabi, schedules, documents, notes, and news to their students."
salesEQUITY,"A SaaS-based management tool using data, AI and machine learning to drive action around the customer experience resulting in higher revenue and reduced churn."
Nutrimedy,Nutrimedy is a novel telehealth platform that transforms disease prevention and management by matching people with Registered Dietitians.
PhotOral,PhotOral has exclusively licensed rom Harvard-Affiiated The Forsyth Institute patented oral light technology that cleans your teeth.
Bonzer Inc,Bonzer is an one way car sharing service with a focus on last mile trips using cool mini electric cars.
TruEnergy Sport Shot,A Healthy Pre Workout Drink For Athletes and Weekend Warriors
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
"QuadWrangle, Inc.",QuadWrangle automatically personalizes engagement and giving between schools and their graduates
DoneGood,DoneGood makes it easy to discover companies that make great stuff and make the world better at the same time.
Deb,"Deb is a platform for consumers to validate, negotiate, and settle debt in collection, hassle free, eliminating collection agency calls and threatening letters."
Beantown Bedding,Beantown Bedding's Laundry-Free Linens® are 100% compostable and are the first and only eco-friendly disposable bed sheets.
Constant Therapy Inc.,Constant Therapy provides tools for personalized and 24x7 brain rehabilitation to patients via iPads & software tools to providers for evidence based care.
Dollarship,Dollarship is mobile loyalty platform aiming to prevent and ease the burden of student debt through engagement with the top brands and retailers.
Live Green,We Make Healthy Affordable
UltraCell Insulation,"UltraCell Insulation LLC makes high performance building insulation from recycled corrugated cardboard, using a patented and proven process."
Solchroma Technologies Inc,"Solchroma is building the world's most vivid, sunlight-readable displays for our future Smart Cities."
Milestone Product Design,"Milestone Product Design creates innovative, valuable, and sustainable products for the Juvenile Product marketing.  Now launching the patented S4 Crib Platform"
Labby,Labby is a high-tech food+beverage testing lab on a smartphone!
Acquire Real Estate,Established commercial real estate investment platform that's developing a SaaS product to automate all aspects of real estate funding and investment management
Finalee,Finalee provides an ad-free and clutter-free experience where businesses can put their best foot forwards and users can simply find what they are looking for.
Busy Beauty,The first and only dry personal care company - creating products that reduce prep-time by up to 90% by avoiding the use of water.
Electric Pipeline Corporation,"We are addressing long distance underground power transmission, a very important unmet need that is holding up renewable energy development."
zakipoint Health,Self-funded employers are paying $600 bn on employee healthcare costs. 10% can be contained. We help them lower this spend and manage pop health risk
GoPetie,"GoPetie is a B2B & B2C mobile platform that connects pet owners to each other, to local service providers and municipalities in a social community environment."
"EvaluationRx, Inc.",EvaluationRx provides cloud software for hospitals to evaluate medical products and medtech vendors to improve sales efficiency.
Rendever,Virtual reality platform for the aging population.
Berserker Sports Corporation,The Berserker Race League is the first Professional Obstacle Course League.
Million,Unleash your personal brand by building a website from your apps in seconds
"Edella, Inc","Virska is web app that allows professors to easily provide assignments, syllabi, schedules, documents, notes, and news to their students."
Thermalin Inc.,Partnered summer 2017 with Sanofi on 2 of our 7 programs developing new insulin molecules to improve outcomes in $25 --> 70B insulin market.
realtycloud,Launched the first of a series of cloud-based SAAS mobile application providing integrated and interactive services for real estate property transactions.
"ShoutBot, Inc.","ShoutBot is the vocal, social network that allows users to pin voice shouts to a map for other users to listen to around the world."
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
Live Green,We Make Healthy Affordable
SoundMob,Provides a more interactive and amplified music experience by connecting multiple phones and speakers simultaneously
Zhydrogen,Capitalizing on the biggest energy breakthrough in decades.
LeaseQ,"A Commercial Equipment Financing Marketplace - Connecting Businesses, Dealers & Lenders - Making Equipment Financing Easy, Fast. and Cost Effective."
Sumu,Finding home. Sumu is a mobile app that helps tenants find a place to call home.
Rumi Spice,A team of US military veterans founded Rumi Spice to source premium saffron from Afghan farmers to help spur agricultural development and sustainable business.
Thermalin Inc.,Partnered summer 2017 with Sanofi on 2 of our 7 programs developing new insulin molecules to improve outcomes in $25 --> 70B insulin market.
Rendever,Virtual reality platform for the aging population.
"Treppen Technologies, Inc.","SaaS for Intelligent governance, focused on people and processes (real-time) to identify and stop potentially risky events before they are finalized."
Radiant Sun,"Paraben, fragrance and dye-free skincare for skin irritation associated with cancer treatments, sunburn and dermatological procedures."
Sea Machines Robotics,Autonomous Self-Driving Technology for Boats
LaunchPad Medical,LaunchPad Medical is developing the first bone adhesive to repair bone fractures and stabilize metal implants.
ELERTS Corporation,"ELERTS develops ""See Something Say Something"" software to report security concerns from your iPhone or android phone."
Monsarrat,Team from $160MM Warner Bros. exit makes Pokemon Go look ancient with new AR mobile game tech platform. Now eSports and multi-million dollar partnerships.
Cashtivity Play,"Cashtivity teaches math through gamified real world challenges, no more boredom & frustration, math is now a fun, creative experience which students relate to."
Alakai Technologies Corp,"The Air Mobility vehicle: a passenger-carrying multicopter powered by clean-fuels, that's simple enough for anyone with a drivers’ license to operate."
YOGAJACK,"Makers of Mission Focused Gear & Damn Fine Yoga Mats. We make awareness yoga mats and gear, customized for everyone's mission."
The Benefactory,"A state-of-the-art virtual online community for 37 million animal-loving kids 4-12 with games, Apps, virtual dogpark; club subscriptions, storytelling"
Jobletics,Automated Labor Management System providing uniquely curated hourly workers for businesses.
"The Coaching Connector, Inc. (TCC)",TCC introduces the public to coaching and enables them to find the perfect coach. It delivers coaches a strong referral source and tools for profitability.
"Cuaround, LLC",AUTOMATION OF THE FUTURE
Food for All,Half-price meals to save your wallet & our planet
Auto Buyers Cooperative,Restoring the economy through innovative marketing of American cars: Selling more American cars means more American jobs.
Todozi,"www.Todozi.com, an Optimized Productivity Platform."
"Spill, Inc.","""Spill"" about life's highs and lows authentically, receive encouragement from people who can relate, and grow others by sharing your wisdom."
"Nabes, LLC",Watch movies from your smartphone comfortably on a 60” virtual screen and look fashionable anywhere with Nabes patented stealth video eyewear.
I Am Kreyol,I Am Kreyol is a woman's high fashion brand that empowers women through beautiful designs & through economic sustainability for artisans in Haiti.
FlyUpAV,FlyUp Air Vehicle
Deb,"Deb is a platform for consumers to validate, negotiate, and settle debt in collection, hassle free, eliminating collection agency calls and threatening letters."
Involved,"Involved is a micro-polling software for local government, helping offices increase civic engagement and understand public opinion with single question surveys."
Caila,A platform to make every person super human.
"Directive Communication Systems, Inc.","We provide the solution to efficiently managing and ending an online life to the best interests of all involved, from families and estates to online businesses."
Just Ask A Nurse (JAAN),We are a  physician refferal service established to provide the general healthcare public with nurse based recommendations. Who do nurses go to for medical care
Pingster,The next generation in Photo-sharing GPS mobile apps
GoPetie,"GoPetie is a B2B & B2C mobile platform that connects pet owners to each other, to local service providers and municipalities in a social community environment."
Ecovent,Even the smartest thermostat can't control individual room temperatures. Ecovent does.
Pretty Instant,The world's first managed marketplace for professional photography.
Pretty Instant,The world's first managed marketplace for professional photography.
GoPetie,"GoPetie is a B2B & B2C mobile platform that connects pet owners to each other, to local service providers and municipalities in a social community environment."
"Rejjee, Inc.",Mobile-enabled consumer product property registry with loss/theft prevention & replacement service.
Planetary Emissions Management Inc.,PEM develops innovative technologies to accurately measure greenhouse gases. GHG measurements are monetized as securities not 'carbon credits'.
BEAN,"BEAN is raising Series A to fund completion of an exchange to connect investors & mobile app developers with our novel security, AppShares."
"Directive Communication Systems, Inc.","We provide the solution to efficiently managing and ending an online life to the best interests of all involved, from families and estates to online businesses."
Black Infusions,"Black Infusions has produced & launched the first of 2 naturally infused, hand crafted artisan spirits using only real fruit. Gluten free, made in the USA"
Omnitivity Inc.,"Omnitivity is Post-Sales ($300K) seeking $600K (40% equity) to accelerate sales of our zero latency, interactive medical telementoring/telepresence system."
Worcester Media Partners,"A sustainable model for local journalism with a great digital site, Worcester.Ma, and the Worcester Sun, a brand new Sunday newspaper for the Worcester region."
Altaeros Energies,Harnessing high altitude winds to deliver low cost energy.
"Meetcaregivers, Inc.",Video-integrated platform that connects families to qualified caregivers for their aging parents. We streamline payment and help families track the care.
LaunchPad Medical,LaunchPad Medical is developing the first bone adhesive to repair bone fractures and stabilize metal implants.
Nichef Technologies,An online marketplace where you can book a personal chef to cook in your kitchen.
ThinkGenetic,"ThinkGenetic reaches undiagnosed and diagnosed individuals living with genetic disorders, helping to reduce time to diagnoses and reduce healthcare costs."
Bonzer Inc,Bonzer is an one way car sharing service with a focus on last mile trips using cool mini electric cars.
Singledin,The Linkedin of online and mobile dating.
"Cold Fusion Energy, Inc.",Cold Fusion New Energy for the New World
Unicorn Goods,"Unicorn Goods helps vegans shop by being the world's largest curated collection of animal-free apparel, home goods, and other products."
Cellanyx,Commercializing a first-in-class machine learning-powered biopsy-on-a-chip platform for precision cancer testing and personalized therapies.
Mini-Mole LLC,"Mini-Mole Sweeper automatically removes dust and fur from under sofas, TV stands, dressers, beds, and other furniture with low ground clearance!"
"The Atmosphere Music, Inc.",The Atmosphere: The Music Community of the Future. One Place. One Site. Music the way you want it!
Eversound,Helping seniors experience life at full volume
Mighty Well,We help patients and their loved ones turn sickness into strength through apparel and accessories that transform the patient and caregiver experience.
Converge Software,Automate. Comply. Prosper.
iHope Network,"iHope is changing the way cognitive behavioral therapy is delivered, breaking down barriers, improving outcomes and lowering costs."
Empire Robotics Inc.,Empire has developed a radically disruptive robot gripper that manipulates randomly oriented objects consistently for a low competitive cost
Uplift,"Revolutionary solution presented through a simple mobile app that ""Ends Jet Lag Naturally""!"
"Toast, Inc.",Toast is an all-in-one restaurant technology platform that is transforming the restaurant experience as we know it.
Applyful,"Applyful lets college applicants and their supporters manage applications together, while unlocking real-time data for colleges."
Jobletics,Automated Labor Management System providing uniquely curated hourly workers for businesses.
"Inanovate, Inc",Inanovate is developing a low-cost blood test to monitor for breast cancer recurrence.
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
"Near Infrared Imaging, Inc.",Near Infrared Imaging is on the cusp of causing a paradigm shift in medical imaging.
Blu2green,Blu2Green hires special needs individuals to sew smart-designed sustainable products utilizing repurposed hospital blue wrap.
Medisafe,"Medisafe is laser focused on providing the most comprehensive platform for Medication Management, patients using the system report and 87% adherence rate"
Atanse,Atanse develops neurosurgical instruments that enable biotechnology companies to deliver therapeutics in the brain with greater precision and reduced trauma.
"Playrific, Inc.",The fastest most cost effective way for brands to reach and engage children under 12 on mobile devices
Organic Parking,Sick of circling the block?  Plan ahead with Organic Parking.
Bow & Drape,Bow & Drape is an online clothing brand that allows women to create their own fashion.
Nubrella Inc,The worlds first Hands-Free & Inversion-Proof weather protection device/umbrella. Nubrella is a 'Category Creator'!
Threellop Nanotechnology,"Inorganic Chromosome based in Silicon (InChroSil) is an electronic device, which has the same organization and structure of organic DNA."
AndrosRobotics,"Long-Reach collaborative robotic arms for warehouse automation. Revolutionary safe, low-cost actuators that power these arms and other service robots."
ChallengeME,ChallengeME is a Health and Fitness social network for Friends to challenge and collaborate with Friends
AndrosRobotics,"Long-Reach collaborative robotic arms for warehouse automation. Revolutionary safe, low-cost actuators that power these arms and other service robots."
BabelBark,"BabelBark solves the need of pets, pet parents, independent veterinarians & regional vendors to connect with a comprehensive & completely integrated platform"
Uplift,"Revolutionary solution presented through a simple mobile app that ""Ends Jet Lag Naturally""!"
Radiant Sun,"Paraben, fragrance and dye-free skincare for skin irritation associated with cancer treatments, sunburn and dermatological procedures."
Exploros,"Making the 1:1 Tablet Classroom Work , Student-centric, teacher-driven collaborative learning platform"
Unigma,We help IT simplify Cloud
"Arete Rehabilitation, Inc.","Inpatient and outpatient Physical, occupational, and speech therapy for ages 65+; in clinics, homes, community, and under contract with nursing homes."
Genomic Expression Inc,We help the doctor find the right drug for the patient and the pharma company find the right patient for their drug
Mona's Curryations,Mona's Curryations are frozen fully prepped Halal ready to cook entrees that represent Pakistani/Indian cuisine.
Sharelendar,Calendar Community for building tomorrow.
She Geeks Out,"She Geeks Out fosters diversity and inclusion through events, networking and education"
mooditor,the mood monitor of the globe.
"Directive Communication Systems, Inc.","We provide the solution to efficiently managing and ending an online life to the best interests of all involved, from families and estates to online businesses."
Astrocyte Pharmaceuticals Inc.,A Novel Approach to Neuroprotection
Nutrimedy,Nutrimedy is a novel telehealth platform that transforms disease prevention and management by matching people with Registered Dietitians.
Pingster,The next generation in Photo-sharing GPS mobile apps
Involved,"Involved is a micro-polling software for local government, helping offices increase civic engagement and understand public opinion with single question surveys."
TeachersConnect,TeachersConnect builds communities and tools for a world in which K-12 teaching is never a solo activity.
Swalloo,"Complete food ordering system for restaurants and users. Food app, portal and table reservations."
Seacoast Sweets,"Handmade chocolate company + lifestyle brand from Newburyport, MA - original family recipe, portion of proceeds donated to local Boston charity. @seacoastsweets"
"WatchRx, Inc.","WatchRx is building a watch, that's also a phone and a GPS, to help elderly take their meds on time and live independently in their home as long as possible"
Omnitivity Inc.,"Omnitivity is Post-Sales ($300K) seeking $600K (40% equity) to accelerate sales of our zero latency, interactive medical telementoring/telepresence system."
Nutrimedy,Nutrimedy is a novel telehealth platform that transforms disease prevention and management by matching people with Registered Dietitians.
Labby,Labby is a high-tech food+beverage testing lab on a smartphone!
Greenvolved,Greenvolved is an online crowdfunding platform that match concerned customers with corporations willing to fund environmental projects
"Meenta, Inc",Book spare capacity on idle scientific equipment
VR Tech Inc,Single platform for hiring  and marketing for any size/industry businesses.
"Design by Educators, Inc. d/b/a Quick Key","Quick Key’s mission is to bring rapid classroom feedback for personalized learning to all classrooms, regardless of access to computing hardware and Internet."
Unruly Studios,We challenge kids to make their own rules for creative play using the problem solving process to code physical objects that interact with the world.
Pretty Instant,The world's first managed marketplace for professional photography.
rHEALTH,Our mission is to democratize biomedical information through technology
Angel Creative Solutions for Healthcare,Innovative digital health products and solutions
Education Modified,"EdModified delivers cutting-edge, research-based strategies for every special need within a teacher's daily workflow."
Aquadat,Aquadat  makes water information actionable &  accessible to companies at the time it matters.
TeachersConnect,TeachersConnect builds communities and tools for a world in which K-12 teaching is never a solo activity.
Furnesh,Furnesh.com makes it easy to purchase the products featured in home design magazines.
Nutrimedy,Nutrimedy is a novel telehealth platform that transforms disease prevention and management by matching people with Registered Dietitians.
Pingster,The next generation in Photo-sharing GPS mobile apps
ThinkGenetic,"ThinkGenetic reaches undiagnosed and diagnosed individuals living with genetic disorders, helping to reduce time to diagnoses and reduce healthcare costs."
SERWOW CORP.,"No fee SaaS platform to run service deals for marketing local businesses. No commitment, no credit cards, bidding possibilities."
"Debris Publishing, Inc.","Debris is the home of Quuve, the world’s first fully customizable web-based investment management ecosystem for professional investors."
Energy Harvesters LLC,We provide a power platform within footwear so end users can “charge their mobile device batteries anytime anywhere from their own walking”.
Mind World Entertainment LLC,The Mind is the Limit
"More On Tap, LLC","More On Tap is a touchsreen kiosk application for customer use in wine & spirits stores to get product information, drink recipes, pairing information and more."
CONTINUUS Pharmaceuticals,"CONTINUUS Pharmaceuticals will enable “on-demand” manufacturing of pharmaceuticals with advantages in lead time, quality, and cost."
Veggie Slingers,"We make awesome plant-based food for the picky eater and the health conscious. Our products are made of organic fruits and vegetables, seeds, and pure oils."
WorkAround Online,"WorkAround is an impact sourcing provider helping companies
get more done for less, while giving jobs to refugees."
Lilypad Scales,"Lilypad Scales removes barriers to independence for people with physical disabilities with the first affordable, portable wheelchair scale."
The Extreme Adventures of Scuba Jack,"Indoor/Outdoor Play Center that offers Enrichment Classes, Birthday Parties and weekend babysitting for Children 6 months to 12 yrs of age."
Nutrimedy,Nutrimedy is a novel telehealth platform that transforms disease prevention and management by matching people with Registered Dietitians.
Ranjit Busch Inc,"YAK APPAREL:
The best brand since UGGs
Targeting the $13 billion un-branded ""winter hat"" niche market with on-trend, innovative product"
FriendsUp,FriendsUp lets you connect with anyone in one scan. Just Tap the information you want to share and scan another user's screen.
botkeeper,"botkeeper combines skilled accountants with machine learning and AI, to provide businesses with accurate bookkeeping and dashboards, 24/7, for 50% less cost."
Mighty Well,We help patients and their loved ones turn sickness into strength through apparel and accessories that transform the patient and caregiver experience.
Dollarship,Dollarship is mobile loyalty platform aiming to prevent and ease the burden of student debt through engagement with the top brands and retailers.
Vyasa Analytics,Vyasa Analytics provides deep learning software and analytics for life sciences and healthcare organizations.
Medumo,"We help healthcare organization deliver the right instructions to the right patients at the right time to increase patient engagement, satisfaction and outcome."
Jobletics,Automated Labor Management System providing uniquely curated hourly workers for businesses.
"CrowdComfort, Inc.","Waze for buildings.  We crowd-source building data (comfort, maintenance, safety, etc.) from occupants to help organizations operate more efficiently."
"NextShift Robotics, Inc.",NextShift Robotics increases the productivity and dramatically lowers the cost   of e­commerce order fulfillment and cellular manufacturing processes.
Music Season,Escola de Musica online
Unruly Studios,We challenge kids to make their own rules for creative play using the problem solving process to code physical objects that interact with the world.
"Cuaround, LLC",AUTOMATION OF THE FUTURE
Wheel Watcher Inc.,"There is a global problem called distracted driving , Wheel Watcher solves the problem by preventing distracting activities behind the wheel"
Black Infusions,"Black Infusions has produced & launched the first of 2 naturally infused, hand crafted artisan spirits using only real fruit. Gluten free, made in the USA"
Auto Buyers Cooperative,Restoring the economy through innovative marketing of American cars: Selling more American cars means more American jobs.
Zealery,Shopping with friends through games on your phone
AndrosRobotics,"Long-Reach collaborative robotic arms for warehouse automation. Revolutionary safe, low-cost actuators that power these arms and other service robots."
Mini-Mole LLC,"Mini-Mole Sweeper automatically removes dust and fur from under sofas, TV stands, dressers, beds, and other furniture with low ground clearance!"
Planetary Emissions Management Inc.,PEM develops innovative technologies to accurately measure greenhouse gases. GHG measurements are monetized as securities not 'carbon credits'.
EduMetrics,"We transform K-12 schools by changing the way they gather, use, and think about data through real-time data capture and analysis on non-cognitive domains."
Spoiler Alert,Boston-based enterprise software company that helps food businesses manage unsold inventory
eventbox,"“EventBox: an Expedia for venues and a LinkedIn for services.
Now it´s easy to contact, check availability and book them for your event!”"
"PocketBra, Inc.","As we head into wearable tech and a cashless/walletless society, women need to keep their phones/valuables safe and accessible without carrying bulky purses."
Green City Growers,"Green City Growers transforms unused space into thriving urban farms, providing our clients with immediate access to nutritious food."
The Dinner Daily,"The Dinner Daily is the busy family's affordable and healthy answer to the ""What's for Dinner?"" Dilemma."
tripBuddy,connecting college students with cars to those who need rides
Planeaway,A web service where users can set up flexible payment plans for their flights.
Clic Wallet,"Clic wallet allows easy access to all your cards, never struggle finding the card you need again."
MarketMuse,MarketMuse uses artificial intelligence to find low-quality content and topical gaps on any website.
"Tauten, Inc.","Tauten is seeking ""go to market"" $2M in B round funding for fully developed, patented knotless connection system for the $48B sports fishing market."
"Prapela, Inc.",stimulating infant health
Pingster,The next generation in Photo-sharing GPS mobile apps
EchoMe Inc.,EchoMe is a real-time music platform that enables users to broadcast the music they are listening to
iCreate,We reinvent the way kids play through a platform that bridges yesterday's physical toys with today's digital means of creating and sharing.
"WatchRx, Inc.","WatchRx offers Smartwatch with visual Med reminders, phone & GPS for seniors and app for caregivers to get alerts & have peace of mind"
Minus the Moo,"Minus the Moo is a premium ice cream made from real dairy and all the same ingredients of traditional ice cream, with lactase enzyme to make it lactose-free!"
LaborX,The LinkedIn for the LinkedOut
CloudBoard,"CloudBoard News is a powerful new solution that merges the worlds of social media and digital signage technology into a single ""group"" communication tool."
Blurr,"By only connecting people who are at the same place at the same time, Blurr gives users instant access to every picture taken around them"
LUMO,LUMO's vision is to be the leading technology company that designs products to enhance the lives of the pets we love!
Testive,"SAT/ACT prep delivering 3x results at half the cost. Our adaptive platform combines software developed at MIT & human coaches, together in a unified experience."
Mobile Oxygen,The SnapScreen delivers 10 X engagement to your mobile shoppers.
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
Pura Vida h2o,Provider of advanced single serve vending water purification stations.
"Directive Communication Systems, Inc.","We provide the solution to efficiently managing and ending an online life to the best interests of all involved, from families and estates to online businesses."
realtycloud,Launched the first of a series of cloud-based SAAS mobile application providing integrated and interactive services for real estate property transactions.
lube 2 go,"Mobile oil change & steam car wash and mobile billboard for
1.Fleet customers
2.Everyone who drives a car
3.Businesses who advertise."
Panion Tech AB,Use common interests to find uncommon friends.
Cocomama Foods,Cocomama uses unique ingredients and form factors to make innovative natural foods that meet growing market needs and trends.
gunamuna,"Gunamuna solves basic problems for babies & parents, with an obsessive focus on needs AND wants. Safety, comfort, functionality - together."
Medcohere,Communication made easy
Redpoint Positioning Corp.,"With its Indoor GPS solution, Redpoint is transforming the way industrial customers are monitoring their operations, for improved safety and efficiency."
ReFleece,"ReFleece transforms textile waste into modern, iconic accessories. Our process is scalable, low-impact, & solves an enviro-nightmare for clothing companies."
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
Cashtivity Play,"Cashtivity teaches math through gamified real world challenges, no more boredom & frustration, math is now a fun, creative experience which students relate to."
Jobletics,Automated Labor Management System providing uniquely curated hourly workers for businesses.
Milestone Product Design,"Milestone Product Design creates innovative, valuable, and sustainable products for the Juvenile Product marketing.  Now launching the patented S4 Crib Platform"
MarketMuse,MarketMuse uses artificial intelligence to find low-quality content and topical gaps on any website.
Presskit.to,A multimedia portfolio solution for artists - helping them communicate more effectively and do more business.
LUMO,LUMO's vision is to be the leading technology company that designs products to enhance the lives of the pets we love!
Deb,"Deb is a platform for consumers to validate, negotiate, and settle debt in collection, hassle free, eliminating collection agency calls and threatening letters."
WorkAround Online,"WorkAround is an impact sourcing provider helping companies
get more done for less, while giving jobs to refugees."
Sea Machines Robotics,Autonomous Self-Driving Technology for Boats
"Vindor Music, Inc.","Make learning and playing music easy, fun, and engaging to increase success"
Wellcoin,"It pays to be healthy! Earn Wellcoins for all your healthy choices, big and small. Spend them on goods and services from your favorite brands and merchants."
Qleek,"Qleek is a beautiful way to play, share and collect your music. It features your favorite songs and shows in your living room, your office or your store."
R-Storm technology,Completed prototype for high-rise window cleaning robot
Vegetarian Cuisine with a Latin twist!,"I would like the opportunity to create a platform where I can share all the recipes I created thru a Food Blog, called:  Vegetarian Cuisine with a Latin twist!"
Tembo Education,"Tembo educates 0-6 year old children, via text messages."
Monsarrat,Team from $160MM Warner Bros. exit makes Pokemon Go look ancient with new AR mobile game tech platform. Now eSports and multi-million dollar partnerships.
Victory In Giving LLC,Restore America's Middle Class join The Giving Cycle.
Nightly,"Making Nightlife Social Again.
The 'put down your phone, get off your ass, and get out there tonight' app."
Sharelendar,Calendar Community for building tomorrow.
Cocomama Foods,Cocomama uses unique ingredients and form factors to make innovative natural foods that meet growing market needs and trends.
CampusTap,CampusTap is a private social platform creating a connected campus community. We provide colleges data on student trends to increase retention & job placement.
Labby,Labby is a high-tech food+beverage testing lab on a smartphone!
FieldTripZoom,Live and interactive educational program marketplace for K-12 education.
"Lincoln Peak Partners, Inc.","Lincoln Peak runs some of the world's largest Healthcare Research networks and created AQUEDUCT, a SaaS solution that accelerates the pace of research."
Solstice,Solar for Every American.
Wellcoin,"It pays to be healthy! Earn Wellcoins for all your healthy choices, big and small. Spend them on goods and services from your favorite brands and merchants."
"Prapela, Inc.",stimulating infant health
Athletic Science,"Athletic Science enables cloud based online sports coaching, training and drill instruction by connecting athletes with elite coaches."
HomeWorks Energy,"HomeWorks is the one-stop-shop for all a home's energy efficiency needs. We generate a customer value of over $2,000, with an acquisition cost of only $42."
Databox,Mobile-first Decision Making Platform
ManagementMania.com LLC,"Global business network, B2B referrals and marketplace. All in one place for business; references, services, products, trainings, e-learning, software, content."
Mobile App Development Boston,Application Development
Energy Intelligence,"We are developing an ultra-compact, road-mounted system that harvests the energy from braking vehicles to generate electricity for on-site consumption."
Gweepi Medical Inc,"Gweepi Medical develops a point of care billing solution to increase Medicare reimbursement in post acute care facilities (nursing homes, home health agencies)"
Rose Services,"When it comes to spotless shine, our cleaning company provides first-rate assistance to residents in Everett, MA."
"FreMon Scientific, Inc.","Next generation blood, plasma, stem-cell, and tissue products
freezer-to-patient warming, thawing and tracking technology"
Chariot For Women,Driving Women Towards Empowerment And Safety
Countdown,We transform district curriculum maps into actionable planning tools for teachers to increase the quality of instruction.
StyleLegion.com,A peer to peer AI authenticated luxury goods and apparel resale marketplace
Centrana Health,"Smarter, Simpler Patient Education - Learning and content management system that tracks patient engagement"
The Third Piece,The Third Piece is an unique fashion accessory company that puts a fresh and fashionable spin on the craft of knitting.
Unigma,Cloud monitoring tool for IT service providers.
BeautyLynk,BeautyLynk is a two-sided marketplace that connects customers and beauty professionals for services.
Wizio,Wizio is the first apartment search platform with exclusively virtual reality content.
AquaHarvest Technologies,"AHT is the cleaner, safer, greener, non-GMO produce alternative with commerical-level yields -- all at a lower cost than conventional farms."
ByteLight,We're bringing GPS indoors
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
ScholarJet,ScholarJet helps students pay for college and companies attract early talent through action-based scholarships.
IENION Inc.,"Ienion enables on-demand, secure, real-time, SaaS, HIPAA-compliant, e-Patient Info. Exchange among dental doctors within & across practices"
"Modular Genetics, Inc.",Designing and manufacturing renewable chemicals
Sundots,Sundots is the world's first gummy for sun protection.
"Openly, Inc.","Openly is a modern, digital-age insurance carrier that will sell through independent insurance agents."
BrightLoop,"A tool for educators that makes qualitative observations meaningful and actionable- decreasing stress, increasing differentiated learning."
Magurobotics LLC,Zombait is a revolutionary product for the sport fishing industry which makes dead bait fish swim again!
FINsix,Reshaping power delivery with a laptop adapter that is four times smaller and six times lighter than today's technology.
ClearGov,ClearGov helps local governments leverage data to communicate and operate more effectively and efficiently.
I Am Kreyol,I Am Kreyol is a woman's high fashion brand that empowers women through beautiful designs & through economic sustainability for artisans in Haiti.
